name;base_chord;note_1;note_2;note_3;vertical;tonality_maj;chord_type;order;prima_location;inversion;interval;NN;mel_desc;sci_not;sci_uniq
G_V;G_V;G4;B4;D5;True;True;Доминантовое трезвучие;0;Внизу;Основной вид;;49;False;G4_B4_D5;G4_B4_D5_ver
G_B_maj3_G_V;G_V;G4;B4;;True;True;;;;;Большая терция;50;False;G4_B4;G4_B4_ver
B_D_min3_G_V;G_V;;B4;D5;True;True;;;;;Малая терция;51;False;B4_D5;B4_D5_ver
G_D_perf5_G_V;G_V;G4;;D5;True;True;;;;;Квинта;52;False;G4_D5;G4_D5_ver
G_V6;G_V6;B4;D5;G5;True;True;Доминантовый секстаккорд;0;Наверху;Первое обращение;;53;False;B4_D5_G5;B4_D5_G5_ver
B_D_min3_G_V6;G_V6;B4;D5;;True;True;;;;;Малая терция;54;False;B4_D5;B4_D5_ver
D_G_perf4_G_V6;G_V6;;D5;G5;True;True;;;;;Кварта;55;False;D5_G5;D5_G5_ver
B_D_min6_G_V6;G_V6;B4;;G5;True;True;;;;;Малая секста;56;False;B4_G5;B4_G5_ver
G_V64;G_V64;D5;G5;B5;True;True;Доминантовый квартсекстаккорд;0;В середине;Второе обращение;;57;False;D5_G5_B5;D5_G5_B5_ver
D_G_perf4_G_V64;G_V64;D5;G5;;True;True;;;;;Кварта;58;False;D5_G5;D5_G5_ver
G_B_maj3_G_V64;G_V64;;G5;B5;True;True;;;;;Большая терция;59;False;G5_B5;G5_B5_ver
D_B_maj6_G_V64;G_V64;D4;;B5;True;True;;;;;Большая секста;60;False;D4_B5;D4_B5_ver
G_V_arp;G_V_arp;G4;B4;D5;False;True;Доминантовое трезвучие;7;Внизу;Основной вид;;61;False;G4_B4_D5;G4_B4_D5
G_B_maj3_G_V_mel;G_V_arp;G4;B4;;False;True;;;;;Большая терция;62;False;G4_B4;G4_B4
B_D_min3_G_V_mel;G_V_arp;;B4;D5;False;True;;;;;Малая терция;63;False;B4_D5;B4_D5
G_D_perf5_G_V_mel;G_V_arp;G4;;D5;False;True;;;;;Квинта;64;False;G4_D5;G4_D5
G_V6_arp;G_V6_arp;B4;D5;G5;False;True;Доминантовый секстаккорд;8;Наверху;Первое обращение;;65;False;B4_D5_G5;B4_D5_G5
B_D_min3_G_V6_mel;G_V6_arp;B4;D5;;False;True;;;;;Малая терция;66;False;B4_D5;B4_D5
D_G_perf4_G_V6_mel;G_V6_arp;;D5;G5;False;True;;;;;Кварта;67;False;D5_G5;D5_G5
